"Story","Title","Result","Date","Stability","Duration (s)"
"Login en la tienda viertual demoblaze","Registro Exitoso","SUCCESS","2024-11-27T12:28:27.2042152-05:00[America/Bogota]","0.0","7.83"
"Registro en tienda virtual demoblaze","Registro exitoso","SUCCESS","2024-11-27T11:22:37.6999505-05:00[America/Bogota]","0.0","7.43"
