"Story","Title","Result","Date","Stability","Duration (s)"
"Login en la tienda viertual demoblaze","Registro Exitoso","ERROR","2024-11-27T12:18:54.5936357-05:00[America/Bogota]","0.0","0.19"
"Login en la tienda viertual demoblaze","Registro Exitoso","SUCCESS","2024-11-27T12:28:27.2042152-05:00[America/Bogota]","0.0","7.83"
