"Story","Title","Result","Date","Stability","Duration (s)"
"Login en la tienda viertual demoblaze","Registro Exitoso","ERROR","2024-11-27T12:18:54.5936357-05:00[America/Bogota]","0.0","0.19"
"Registro en tienda virtual demoblaze","Registro exitoso","ERROR","2024-11-27T09:14:10.1342295-05:00[America/Bogota]","0.0","0.21"
